Message_ID,Original_Message,Transmitted_Message,Error_Correction_Applied,Corrected_Message,Encryption_Type,Encrypted_Message,Decrypted_Message,Authentication_Status,Transmission_Time (ms),Error_Rate (%),Throughput (Mbps),Data_Integrity (%),Target
4274,Arriving Delays Delays Departing Maintenance Train,Arriving Delays Delays Departing Maintenance Train,0,Arriving Delays Delays Departing Maintenance Train,RSA,gAAAAABnlGiM6_dTF85y9SwTACAFU9l76a3J5vqKtq5WHG29jQ1mxvg_V4i-pxJ0e3Cxm2U7gKjnXZW55fFUzOW7dhDpK2SRd7Gxjj8XRvz6Jr75qjSNnO_p3WdKFVaZVvomhB9-uqsiQxD5qUbcocuvRc8ySR3u7A==,Arriving Delays Delays Departing Maintenance Train,Failure,13.67,1.41,59.02,98.59,Not Secure
4275,Maintenance Train Delays Departing Arriving On-Time Arriving,Maintenance Train Delays Departing Arriving On-Time Arriving,0,Maintenance Train Delays Departing Arriving On-Time Arriving,Blowfish,gAAAAABnlGiMnxOGT7K0n7eOnORpuoVNTS6Hl2qz8OZiacVrp2ZcjyDP2ScJEDqWucVZJGr6PYX5CzZMn9BExAIZzXzsjWclLOQjeScfaZq_4TQg5T1AI1BP6JE-VA8aDMu85w8TYlzWY6a2kdbRHJ-yLwpuKCTV3g==,Maintenance Train Delays Departing Arriving On-Time Arriving,Failure,8.87,0.86,58.86,99.14,Not Secure
4276,Arriving Train Maintenance Delays Station,Arriving Train Maintenance Delays Station,0,Arriving Train Maintenance Delays Station,Blowfish,gAAAAABnlGiM5eRXdUeLhfwRZ7P9oyhwKlgfzYeMdwgjplukwZJfQHQ2L54e4qUi2ID3MKDGj5xJasTIj8czPZjuNx444t7RoWwSBSmsw_VuKrgV1VX3sHnGd_Ce0ruSNDXMXknbL4Tq,Arriving Train Maintenance Delays Station,Failure,11.32,0.26,58.32,99.74,Not Secure
4277,Arriving Maintenance Station Arriving Station Delays,Arriving Maintvnance Station Arriving Station Delays,1,Arriving Maintenance Station Arriving Station Delays,Blowfish,gAAAAABnlGiM3gWK06XGdYc1MIpxFkIJYGjMllWwOdpeMncY3e6v0XXtepUskrOTyFmiAm6beVBAWH08uMg6UBviPWuvYTU-EhNgaxk4guGfr-JAGQ0GK8g8DsGaWUs6Arw_DlhT24qGgG3-RpIFNNg0ZegXIiM16Q==,Arriving Maintenance Station Arriving Station Delays,Failure,8.69,1.89,52.64,98.11,Not Secure
4278,Delays On-Time Maintenance Delays Departing,Delays On-Time Maintenance Delays Departing,0,Delays On-Time Maintenance Delays Departing,RSA,gAAAAABnlGiMhFiiQMaDtAZYvLfcksffUlMTa_JeGSdFpc2HCs2Dh6pK8dgqNHST8R4MHc-spIb7IZm1pTZxysBxRHyb7FxUpaUtWsP49mXbXQOGSsYtlce8hPlWMshSFAF7pZwPQuwz,Delays On-Time Maintenance Delays Departing,Failure,10.68,1.26,53.55,98.74,Not Secure
4279,Arriving On-Time On-Time On-Time Departing Train Maintenance,Arriving On-Time On-Time On-Time Departing Train Maintenance,0,Arriving On-Time On-Time On-Time Departing Train Maintenance,RSA,gAAAAABnlGiMsPGXUCFh1btyB8h5e3eYiNJT9AZfVOR6kGu8YfE3ySU9vVVrG8VzrMOAX2s5-fYfydiyi16VUi3fdydCtIHG0zeYRrMrEi0yCGnJlLA0SCLFoXQxGYHTDoAwhn_teunUAXS_45Y-BQLxxCSaRGtaPg==,Arriving On-Time On-Time On-Time Departing Train Maintenance,Failure,10.45,0.74,57.92,99.26,Not Secure
4280,Delays Station Train On-Time Train,Delays Station Train On-Time Train,0,Delays Station Train On-Time Train,Blowfish,gAAAAABnlGiMkp2Nddl-Uo9XmUFCPRrYWRwVp_yyMueVco6lZjjewvvSqj8hXXFiFNJaCkjyJj_knEtZL4RtGzpiM7bryoM-1olNIOt74b1gwf7dPBuNC628H2xOt5oyLeyW-Uz-CEJe,Delays Station Train On-Time Train,Success,11.33,0.35,54.74,99.65,Secure
4281,Train Arriving Maintenance Delays Arriving,Train Arriving Maintenance Delays Arriving,0,Train Arriving Maintenance Delays Arriving,Blowfish,gAAAAABnlGiMt-ytdCYmoLaNWBMKl4rOs4eR3aP2rO3i9cUldku2LRN9aSDWYM_PM_qUQFqpf1HmEolLWzvZv3D650al_H3KrEbLOd-GV_gSTk-iQSTPov1XtZgXnb23u1et9g4hrCyV,Train Arriving Maintenance Delays Arriving,Success,11.14,1.23,53.78,98.77,Secure
4282,Station Delays Train Station Station,Station Delays Train Station Station,0,Station Delays Train Station Station,Blowfish,gAAAAABnlGiMGnp_EPh_xMGxRII0eXBrWeNR4smsXYDX9_lIXYvuGS5DWKjwFPsLZNVkzKWTBNjuRgLCdZzGmM55Oxy0F2Xpmic-iXWGfNvpTyz_Nqtc-dmB6gEMGfyKSpaNQWcHIfn_,Station Delays Train Station Station,Success,12.23,0.06,57.89,99.94,Secure
4283,Departing Delays On-Time Departing Train Station,Departing Delays On-Time Departing Train Station,0,Departing Delays On-Time Departing Train Station,Blowfish,gAAAAABnlGiMJIAYBRphe8IxudPQ6RC5G0R3Fq0-ElDBzckkQoP38prFWlkk4zLjFGgireH3KXkVS1U5J964tn2vGqUlvlmFe3y99yIbD8oJk4mxSBgi22tqP3A3ONvL4eEXZiGxK6ooLn9HIyZX6CTOor6Zdy1Rsg==,Departing Delays On-Time Departing Train Station,Failure,7.25,1.38,58.45,98.62,Not Secure
4284,Delays On-Time Delays Arriving Departing Delays,Delays On-Time Delays Arriving Departing Delays,0,Delays On-Time Delays Arriving Departing Delays,RSA,gAAAAABnlGiM2sGkRr7ZNSQAwN04tWt5trGxwcO-geRTRlS3sml8eyvy4UwS8NuJuck1-0NGpIV_20ZjVWHMScLDGbe39tlanxVreJJx_ZiPb7WY_WP9STu8KDQI3FbFzZTmZbfBzDja,Delays On-Time Delays Arriving Departing Delays,Failure,11.19,0.44,56.01,99.56,Not Secure
4285,Maintenance Maintenance Arriving Station,Maintenance Maintenance Arriving Station,0,Maintenance Maintenance Arriving Station,HybridRSA-Blowfish,gAAAAABnlGiMJFm1wW93y65Aor5yrqbJpP5ovPxRA9HetBECiSmLsQ-T7kNxYoZLmeGTUGMhGUFf6HyKdczLU6oPQ8wQ31JJG6q3qsV5JRHbC2IPS6aV3y97h7URBREwbxmjGg_D4wNY,Maintenance Maintenance Arriving Station,Success,14.84,1.65,59.29,98.35,Secure
4286,Departing On-Time On-Time Departing On-Time,DeRarting On-Time On-Time Departing On-Time,1,Departing On-Time On-Time Departing On-Time,RSA,gAAAAABnlGiM691YHfeRQSilRAKbN0juKWa-INGlLl6sebYomxujnBfbxtN9laaGelbJIS-Q59GtLdZBeULdWkQW6Yzta8fQNij8Ba8-PTxJ7SFloAyuoEh2OE6Qn_rKfia-Q8ogJQnJ,Departing On-Time On-Time Departing On-Time,Failure,5.5,0.88,50.68,99.12,Not Secure
4287,On-Time On-Time Arriving Delays Station Departing Arriving,On-Time On-Time Arriving Delays Station Departing Arriving,0,On-Time On-Time Arriving Delays Station Departing Arriving,HybridRSA-Blowfish,gAAAAABnlGiMyKfIrFqXpa0pJWB70W3yc6CSwd2ovLnTUwD9EM_ZNBUNA-0Lq_eLlHfFjN_23CsKIRxxy_hTL_ZAp9mw-HKgUi9HtdX6e2Cmv9srT4r51_qrHJTJvoIUnU3HkzJTW_J6oGfV5H8p9MFFkg_nu5irlQ==,On-Time On-Time Arriving Delays Station Departing Arriving,Success,13.4,0.16,54.32,99.84,Secure
4288,On-Time Delays Station Station Station Delays Delays,On-Time Delays Station Station Station Delays Delays,0,On-Time Delays Station Station Station Delays Delays,Blowfish,gAAAAABnlGiMgNc5pk588RfsDAdjPmzuAZEXLK0Ngni5E33gJ9jYpOJd9okTKMPxtGLdGrgO65FHfrrxacknOPZnKmWBXZuWY38g5wh4hIDKyYYLDs7kQpLqs2aNk8LI4lmU0A23-_Ig9G_DSqUTkY9sFfEmG5W9cQ==,On-Time Delays Station Station Station Delays Delays,Failure,8.64,1.16,51.53,98.84,Not Secure
4289,Station Station Maintenance Delays Delays,Station Station Maintenance Delays Delays,0,Station Station Maintenance Delays Delays,HybridRSA-Blowfish,gAAAAABnlGiM39ZuVnekr2v9XZPxC6PnwpnDJpij5UaBmmBJlgwvcK1cz5cNJOcGKYM_fFKZmSTSc0WvrudxUuQbR0FIeF_qK5Rf030IAnv_LzS5S_XKBUFdoxh0X7Q4L_8WZsiq_rlG,Station Station Maintenance Delays Delays,Success,9.4,0.46,59.33,99.54,Secure
4290,Station Train Train Delays Delays Departing Station,Station Trait Train Delays Delays Departing Station,1,Station Train Train Delays Delays Departing Station,HybridRSA-Blowfish,gAAAAABnlGiM3C2kj6ScWFThAt1DpJh-Knxi3SDu0tqqZDzsTT4by9bkex8Vzt-zfZ5iMojpe_FDUNnS-BBdNWwWXtVAHh8SFnmK6HnOlGwaZtXc38ivoAQb4YECmpLejk1Bjf9xUfKylaPPY_0AE708lnAIFJrDRg==,Station Train Train Delays Delays Departing Station,Failure,11.49,1.13,58.3,98.87,Not Secure
4291,On-Time Train On-Time Maintenance Station,On-Time Train On-Time Maintenance Station,0,On-Time Train On-Time Maintenance Station,Blowfish,gAAAAABnlGiM8anUTVd7OfN3__ZABKI-_B7_NMdyfNgYeH8mnveopvhwqotn3MsC6FLCeGLLNMufk1R2yRI3aXeMOknRYo8q146Mt1fx1-xjBCBQEpJ_3PCEVCd4JL3BsabH0z64311h,On-Time Train On-Time Maintenance Station,Success,5.6,1.32,55.76,98.68,Secure
4292,Arriving Station On-Time Station Train Station Arriving,Arriving Station On-Time Station Train Station Arriving,0,Arriving Station On-Time Station Train Station Arriving,Blowfish,gAAAAABnlGiMlu4f3AbbGCunjs5rsePuJJmj9LVYOZ9v8rMqstpeIuh_Nu7hPS-B8xIYRC5ZaOK2NYqcYfuI-bi5KQ2G8MwK2g-_eIvQH1tdfYFbz7AGmTJGo3F2TLRSiAM1Z87INm33aq_NJ9gEkoTbOEhroJkXhw==,Arriving Station On-Time Station Train Station Arriving,Success,9.68,1.4,53.46,98.6,Secure
4293,Station Train Departing Arriving Delays Departing Station,Station Train DeparFing Arriving Delays Departing Station,1,Station Train Departing Arriving Delays Departing Station,Blowfish,gAAAAABnlGiMx9xwjUkcUHI7RL3eMu0pQv29qj4GXs5Hb3OaIymHSkeIY7ATnjriSkNxLPdcMPrd-mIFhQaHzGyOaAARldn1QVZwAdFmEyDPIpHhjmDOsysAK_mzujW2YyfWRwxgKw_vrcgmc1uClChteA375AL-lw==,Station Train Departing Arriving Delays Departing Station,Failure,11.61,0.99,58.64,99.01,Not Secure
4294,Arriving Arriving Departing Train On-Time Maintenance Arriving,Arriving Arriving Departing Train On-Time Maintenance Arriving,0,Arriving Arriving Departing Train On-Time Maintenance Arriving,Blowfish,gAAAAABnlGiMACxReY8yL4cUxZhVZj_Bxq1ZGFpHWil4o3HR-MRzOIn3aqTbcoF9vybI-KzxBD4UM-iNLElFMCeUyamu88E2zdwbNEZ1ojUrZdwhVF13N8az9pE2QuUWPmIKMMfrYUoTcN2Lwx-dwZEACgaiZ77VhQ==,Arriving Arriving Departing Train On-Time Maintenance Arriving,Success,8.74,0.12,57.56,99.88,Secure
4295,Station Train On-Time Station,Station Train On-Time Station,0,Station Train On-Time Station,Blowfish,gAAAAABnlGiM1HWqnw_UeXatP4WWitmtdOWFH7tJCW5PRBnXoIrPi3xZRZq6C55iuuIrTht2Uu5hIBA-E1n3HSXYtezZuezmFCZ_VIMn8hLNAgK7r31duQc=,Station Train On-Time Station,Success,9.43,1.88,58.96,98.12,Secure
4296,Maintenance Delays Station Arriving On-Time On-Time Departing,Maintenance Delays Station Arriving On-Time On-Time Departing,0,Maintenance Delays Station Arriving On-Time On-Time Departing,Blowfish,gAAAAABnlGiMo7sjPRFqhgnONaibWp1WXIqZfCLjc6TlyCWbBia2_Ottm_d8-fmZ6UtoySxKBOrAnFU_WQRboHKKUQhzg_fYdNtLnFmyX4ArmjnJEiq0p-2F-yxWhMvpktlMVAWwxnMeb0eOzhsVYj9Si8GTsGF6zw==,Maintenance Delays Station Arriving On-Time On-Time Departing,Failure,9.52,1.82,53.65,98.18,Not Secure
4297,On-Time Departing Arriving Maintenance Maintenance,On-Time Departing Arriving Maintenance Maintenance,0,On-Time Departing Arriving Maintenance Maintenance,RSA,gAAAAABnlGiMc57c-Owy0M64P-RWJb2yFc0U3gtw24V4ZjDyjKtjeI7ISXSN_PZNhqF3yuzZqNmQ6GUVzlX2lT1ZEr8o0TJ4fPNJ52BaBxFaXVgHinJvpH9tMtnLcjgFCZGC7AziRWaV2-cr9KHwPSjxJ1f2n_TvdQ==,On-Time Departing Arriving Maintenance Maintenance,Success,7.62,0.92,59.4,99.08,Secure
4298,Train Arriving On-Time Departing,Train Arriving On-Time Departing,0,Train Arriving On-Time Departing,Blowfish,gAAAAABnlGiM3Git6BM6_-cqSEFJWA4LG29FOlXerDyV3W7lDynJB9f5AJKJqfAXvLgyU_JfFM1X1l_0dPuQApyf3WZBE-WO6FBwcothB_QTIDX2j5jPUv-EhZ1pBXldgQ0Ex9HI_oKD,Train Arriving On-Time Departing,Failure,10.59,0.49,58.81,99.51,Not Secure
4299,Delays Delays Train Arriving Arriving Delays Delays,Delays Delays Train Arriving Arriving selays Delays,1,Delays Delays Train Arriving Arriving Delays Delays,RSA,gAAAAABnlGiMWCOSYIUfAD1IHFef04Nymne3x5RylL3rKH-QixlFcuCBzcW3IqB_67L6b5diyAQrYkSyPHNq8xczo823T3LDi-A-jLmcalr-UETR1iDz418sZ3XnZiqBdCDDunOXZL7979BoXVQivGem35jhlBpyig==,Delays Delays Train Arriving Arriving Delays Delays,Failure,9.86,1.6,53.18,98.4,Not Secure
4300,Station Station Delays Delays,Station Station Delays Delays,0,Station Station Delays Delays,Blowfish,gAAAAABnlGiMhd3RcNbXFSR4LYMZQ9dFU9uyE9bIi1e8wIgaTP5uO45XY-zLcewJ8u5S2i8y9CeRGu2TU5qBHUEK0h_l4O6L5edVUXwxxO0v5HYEWQ3hvg4=,Station Station Delays Delays,Failure,14.22,1.35,58.38,98.65,Not Secure
4301,Departing Departing Departing Arriving,Departing Departing Departing Arriving,0,Departing Departing Departing Arriving,HybridRSA-Blowfish,gAAAAABnlGiMLotf_5xA0uoGykbCj6O2oK8oKzY8-Daslj6onFmty1e5AIO5mIMhMZxcD2dLvC9EvU_P5Uia-QzugqK6aSqHekUQgJE2GjQuOBR2-gFFoGkxNxEuzssrh0fCIVl5oG8-,Departing Departing Departing Arriving,Success,5.0,1.46,52.09,98.54,Secure
4302,Train On-Time Arriving On-Time On-Time Delays Station,Train On-Time Arriming On-Time On-Time Delays Station,1,Train On-Time Arriving On-Time On-Time Delays Station,Blowfish,gAAAAABnlGiMYbrQs9E-4_jsZwDcctq0hGrXl0FU5BHlneG1wdbiqDymG7j_EhxPuVbG5OK7p5LMRdt9vvRcPzw3zCmRIilFh-4jY_AhurqNXTuWjuVxatn4otW02Q37hWTm02CkhUvNCNNKYd4k176hGgHKBoOowA==,Train On-Time Arriving On-Time On-Time Delays Station,Success,12.29,1.49,56.7,98.51,Secure
4303,Maintenance Station Train Station,Maintenance Station Train Station,0,Maintenance Station Train Station,HybridRSA-Blowfish,gAAAAABnlGiMSa9Pe-_EmcjoslFH98yOntVzlOE5gA_ngx8PlvzMAA4t4k8rqmBB1qsdaUry_kqML6TtroGQjHjifcNRpfRbCpb7b-DKJnqvMRaxXziR4sLBFDCf47qtbwGZ8tl-OYEk,Maintenance Station Train Station,Success,10.45,1.32,55.27,98.68,Secure
4304,On-Time On-Time Delays Departing On-Time,On-Time On-Time Delays Departing On-Time,0,On-Time On-Time Delays Departing On-Time,Blowfish,gAAAAABnlGiMoEmUiRQoiIu02RAgNUP7QMbnRlYbfqySt2N3O2P1YY0puOdY-DYY47Y4MD2NOyw1vTXrpJAQ_0zDe6ObIrG2r8TIbMCul4zRSm6vKjFzBe2PN7QAcxTBW44c7sYXe2Pa,On-Time On-Time Delays Departing On-Time,Failure,10.52,0.63,59.02,99.37,Not Secure
4305,Station Delays Arriving Train Maintenance,Station Delays Arriving Train Maintenance,0,Station Delays Arriving Train Maintenance,Blowfish,gAAAAABnlGiMgmJH_b3rqQ1yaxCa68lrJrKSclX2vm8E9SqhONb-F7c5mRo718Jog2NtQ5TqkbjL1Ki27NmfUeKeSHfkJW7JHUtHQ_9qi6t_EdmSj4073W7au4PHC-FaAy57-tAQttQm,Station Delays Arriving Train Maintenance,Failure,12.86,0.16,54.07,99.84,Not Secure
4306,Maintenance Train Delays Arriving,Maintenance Train Delays Arriving,0,Maintenance Train Delays Arriving,RSA,gAAAAABnlGiMjOWhTCcZJHzvFMxU64xiGDaa0iG7KHS67iQt3GRF-iXC8oA6mJkUI6UMHsgSaXiFZwqXKYxTJnG906s0ptao4uDNnQhLIJCImOSFrwwGO4phoNWACbSPefluzbgEVubu,Maintenance Train Delays Arriving,Failure,11.61,1.97,54.96,98.03,Not Secure
4307,Delays Departing Arriving Departing Station Station,Delays Departing Arriving Departing Station Station,0,Delays Departing Arriving Departing Station Station,HybridRSA-Blowfish,gAAAAABnlGiMrloGz9YpMFhvGKuwlpGt3N7uZfWH6EHwK_YhMSRbyG61E5sDOtu3mWcOXi9sV4gRhHcQ7_GLrU5mLOCozzkwDCIE5mWOitSKPYuHtlLpsiZPXBa5ZGrqmJrcg9kU0mE6TEHp2zs5q5gm0kM0G4dvog==,Delays Departing Arriving Departing Station Station,Failure,9.38,1.02,58.93,98.98,Not Secure
4308,Train Station Station Station,Train Station Station Station,0,Train Station Station Station,HybridRSA-Blowfish,gAAAAABnlGiMoLsEkcJBmN4Za84FUJr0lhFuARpSK6mXc6PsoivKYT6PV5sw6xDVlEkOTqX5GhkbJReLB4OAHVnsdrYSjXF-iQxPm6P-fUOSDQRezNmZuKo=,Train Station Station Station,Failure,11.11,1.35,57.93,98.65,Not Secure
4309,On-Time Maintenance Maintenance Station Departing Maintenance Departing,On-Time MaintenanEe Maintenance Station Departing Maintenance Departing,1,On-Time Maintenance Maintenance Station Departing Maintenance Departing,RSA,gAAAAABnlGiMYp2cyP69UOZiP5VL17hJb8MaXbpnFLbUUELMxX1gemZJYX8mgrk-cn82Zz5pZDrr5wDBL5iKiD0A7g09LPMvM6RuYQ46wTs1ETI0KsvPFzLVspDvuYvECP_kxeOUPDWe_vphyFoyVeuNLZZflhaviQ5Uh4loufikJwkbedF0Tc8=,On-Time Maintenance Maintenance Station Departing Maintenance Departing,Success,11.39,1.57,59.41,98.43,Secure
4310,Arriving On-Time Departing Train Delays Maintenance,Arriving On-Time Departing Train Delays Maintenance,0,Arriving On-Time Departing Train Delays Maintenance,Blowfish,gAAAAABnlGiMXGw6zSux9c-jOdnb7BHvfdaCqreidyqF9N38quaUjg2cVVe6dNIdMCARFA1qTORDjTYO-co1Jm3NsxqYUufEdvdl4DySsP0wOZDh1G-Vfa2LmWS4HU8JmHvIBz0JlsgITIn32Y5Pcso8eE1XIk2S6Q==,Arriving On-Time Departing Train Delays Maintenance,Success,9.85,0.1,59.49,99.9,Secure
4311,Departing Station Station On-Time,Departing StationkStation On-Time,1,Departing Station Station On-Time,RSA,gAAAAABnlGiMqjYMznRshhFc885iKGrzw_dvUJ6Tp-aVUpFqKe5KyGlpiJ6vbyi9Ex9X6M9nWkL_HH1a37o2m12txlj4728Da_BRHdAfY28ub5M4KaEVwziRlahjtI4jaE75okMHlRiV,Departing Station Station On-Time,Failure,9.33,0.67,54.91,99.33,Not Secure
4312,Departing On-Time Train Station Departing On-Time Train,Departing On-Time Train Station Departing On-Time Train,0,Departing On-Time Train Station Departing On-Time Train,RSA,gAAAAABnlGiMyjNchzUKBnz6gJIEaAeSK_FvDp1j5YCbM61wL0pUKADP6tHt8FP8UvO6sYaKClJD7d8ukZpK_5CASAlQYR0_CMCG3n-Rk3SLX9UlNSuldSz5Fu2tUTU5H88H2LXIWhVIechFUXGQ7CzkXvh8YuGMgA==,Departing On-Time Train Station Departing On-Time Train,Failure,7.2,1.73,52.65,98.27,Not Secure
4313,Delays Delays On-Time Station Train Delays Delays,Delays Delays On-Time Station Train Delays Delays,0,Delays Delays On-Time Station Train Delays Delays,RSA,gAAAAABnlGiMQoLJJtMGBYNUMtuCYI1wJphpftGZVjqN05zsHMq9qZ-xtq2ZjIA0vHuQGiVDYQKhNACGCe2LvXBohRCiBBJkxBFKZB7eZtdQ50Yrx8F7iP5bJlPp4h6_GCjLcPpyUB1EX8rFFBBJxjFeS0m8h26udA==,Delays Delays On-Time Station Train Delays Delays,Failure,5.54,0.54,52.33,99.46,Not Secure
4314,Arriving Maintenance Maintenance Station Maintenance,Arriving Maintenance Maintenance Station Maintenance,0,Arriving Maintenance Maintenance Station Maintenance,Blowfish,gAAAAABnlGiMfw6f8O4BBYWm6dn_nA9HJ56mFNN1JuezSjkMSIJDRYBxEm_isHfDBnjoPn0HtZZAJ8KF8-YrH__IiXi1mwU55payM_iaIjYV8eiMTFYNK4IFZmJHeDDFG7aiTmwUXRTMHnk6ZIRo3X-wT0OBhJfwVA==,Arriving Maintenance Maintenance Station Maintenance,Success,14.38,0.91,50.75,99.09,Secure
4315,On-Time On-Time Train Departing On-Time Delays,On-Time On-Time Train Departing On-Time Delays,0,On-Time On-Time Train Departing On-Time Delays,RSA,gAAAAABnlGiMsX3Ny4SFsOCrWjtfC0Cr-vyu8TxcOPhEtPVSt5He9_7_XJpLwQ-F1-I0hyFKA4A6wjQkizTTH78n0ZJNpxjp1TyTHVOGUrkqFiOmSejGW2NCTqex7XBYm2CGE-1GbDvP,On-Time On-Time Train Departing On-Time Delays,Success,8.65,0.21,51.03,99.79,Secure
4316,Arriving Delays Departing Delays Arriving,Arriving Delays Departing Delays Arriving,0,Arriving Delays Departing Delays Arriving,Blowfish,gAAAAABnlGiMSUrfjbARZ3TNHaORz39lVHBHq9oA24Dft9Mrg7bnPur9A2TsqnHEZ8N0yhtzP0_FlcVYVdhPqfsHFdjQyy3KMN78otQOhsMz34tKtSQyV7mZCGloYcGZyyhwEb-Kx6zs,Arriving Delays Departing Delays Arriving,Success,8.36,1.74,53.47,98.26,Secure
4317,Delays Maintenance On-Time Station Arriving,felays Maintenance On-Time Station Arriving,1,Delays Maintenance On-Time Station Arriving,HybridRSA-Blowfish,gAAAAABnlGiM3j0vfiHuVB_-3OfPoOiYcCN5HxfPcBwz4Ah6BSSrjZxyB_Ary0l135qkkY4COgM90kBkVEVqpxMPdi_6WY-0OKEsTRAkLl4nilSB9CUjMUashzOxs2xDS1vsknp7ulq1,Delays Maintenance On-Time Station Arriving,Failure,7.92,0.98,56.46,99.02,Not Secure
4318,Maintenance On-Time Delays Station Departing Maintenance,Maintenance On-Time Delays Station Departing Maintenance,0,Maintenance On-Time Delays Station Departing Maintenance,Blowfish,gAAAAABnlGiMLPWquk_k-BbGvGF6xfQuluraOA8VAexuqLpEKzv7ZJtHhztPAYbd1hr5eTzF5ngd-J5M3yhIvXcWB2GQ_AyyKQJ-TA7VTu_ItTVUN0hz1MQJiy3QgsOW5yMo9exHR8pPGS2weh7lM9hfV0IS8d91vg==,Maintenance On-Time Delays Station Departing Maintenance,Success,12.18,0.65,57.8,99.35,Secure
4319,Delays On-Time On-Time Arriving On-Time Delays On-Time,Delays On-Time On-Time Arriving On-Time Delays On-Time,0,Delays On-Time On-Time Arriving On-Time Delays On-Time,HybridRSA-Blowfish,gAAAAABnlGiMCyL5nuKYEjL1B1gWM5w8iFpVkFjvlbSx8WY5wegeX0JSWnULMzthGp-R-jvzBuBtHUPbinD5o7W1Uq_49zeZKRzt04J9mGwE7G0HAHudRa2qq9cl3V29QwhIWlwp1_zbUW4aqNdB8Pezv2Tsn-ySdw==,Delays On-Time On-Time Arriving On-Time Delays On-Time,Failure,12.25,0.86,57.33,99.14,Not Secure
4320,Station Train Maintenance On-Time,Station Train Maintenance OnJTime,1,Station Train Maintenance On-Time,Blowfish,gAAAAABnlGiMHA2C_-TgDezkJGdsbf1ENeDtyBoev5-zvhmDWKMYgxiRan9dNIlQeG5gS6vaKDpxSAbNjhMP6pZizntdZ5DoxTi3t8LPtNdmOGr2fZRNxWa9Lqxt29neEyl8Ome3MfZ5,Station Train Maintenance On-Time,Success,13.1,0.35,55.38,99.65,Secure
4321,Maintenance Station Train Delays,Maintenance Station Train Delays,0,Maintenance Station Train Delays,HybridRSA-Blowfish,gAAAAABnlGiMeeuDWF_VYyCqb-iUZBtvMwXnidlPUt2f79VxPrTpNpA54KkSfUNHe9lDx1Ys7YivmGArcC2bcu3eMwdVQyZwf0Otzg6kt41ydgPAZsoCvIN6cgMmtSwBzHnkTHA4FkiF,Maintenance Station Train Delays,Failure,8.9,1.85,50.88,98.15,Not Secure
4322,Train Station Maintenance Train Departing Delays On-Time,Train Station Maintenance Train Departing Delays On-Time,0,Train Station Maintenance Train Departing Delays On-Time,Blowfish,gAAAAABnlGiMey7vbfL215FP55v1VuQpjC41lXgDaeycxMuDXuf12gQCYDuPKcKyYxR-Xv1ZLR7_d1AFLyzSqqXLIIEFvoy61GScJmyEHaFkDwuSjNNigt4jakPgYvBH23Ffl5c4__BWE8DXblpgtmUV-2RzpcyCdA==,Train Station Maintenance Train Departing Delays On-Time,Failure,7.03,1.23,56.35,98.77,Not Secure
4323,Delays Delays Delays Departing Station,Delays Delays Delays Departing Station,0,Delays Delays Delays Departing Station,Blowfish,gAAAAABnlGiM6OH5tsZKM3wN2K2r2ESevD_RTQnRVAJSZpIBabzIY6e0n0m87_za5Fpay5Mkurfz2d60s0nmBCyXjhUrC-gl95b6IBXKxfoYnIeyQNYCdDh9__NsRhxRupLaKUEoA-A3,Delays Delays Delays Departing Station,Failure,8.57,1.9,50.34,98.1,Not Secure
4324,Maintenance Train Train Station Maintenance Station,Maintenance Train Train Station Maintenance Station,0,Maintenance Train Train Station Maintenance Station,HybridRSA-Blowfish,gAAAAABnlGiMe0rrfSdhqS9XEpHOoV-jmqwYGCnafSC159gOp20tl-gf8kOqLYURd-IiuVYa0mIdt6PWPbGNxRNJLR9aIlWErc-tMyPXBKqjrJgX5USKtkpo7XMmnTkcWbDTi8l1oF6Bp9ZFw8Lv8JrgqhP5VqLbGQ==,Maintenance Train Train Station Maintenance Station,Success,9.24,0.89,55.9,99.11,Secure
4325,Station Maintenance Train Delays Delays Station,Station Maintenance Train Delays Delays Station,0,Station Maintenance Train Delays Delays Station,RSA,gAAAAABnlGiMQvz6xtelVGpK1O8ab5ByVKwsOi-a7Iw0TD6AoNLZuALAi9ulGP-sjpqz1oKLnVAX1u5c70b18r424xcc6GOYciuwekltmP7rDAHRk4bo8Z9tWFKD5VWLnzDTyae9f6M4,Station Maintenance Train Delays Delays Station,Failure,13.08,1.64,51.3,98.36,Not Secure
4326,Delays Departing Arriving Arriving,Delays Departing Arriving Arriving,0,Delays Departing Arriving Arriving,Blowfish,gAAAAABnlGiMob2OlfBn6fHYPkALabKRSS_Rcr5K_oI-WMURYmEjLKaC3yW1UCW579A1A9D47bAZcb7ikRocZvQQ5K98IuXr1MWeDRDkcxJQLQK_M-COyNr8w2mvZ5PTHfZKtqQO1nWI,Delays Departing Arriving Arriving,Failure,7.3,0.08,56.12,99.92,Not Secure
4327,On-Time Maintenance Arriving Station Maintenance Train,On-Time Maintenance Arriving Station Maintenance Train,0,On-Time Maintenance Arriving Station Maintenance Train,Blowfish,gAAAAABnlGiM2Bf1iWunmRnU8zXKkZIhdwKNpDooq6Cg2j__CFqde9f-BZqyREvst-CvluU326PrAoM4AuKeRxMc-hFdre_LFbW0Imy6lBPvIxrvh4uqL38NzYg7pxpED-3UxvMwj9wXB6UxbeUGdyuMfMDuEKhC4g==,On-Time Maintenance Arriving Station Maintenance Train,Success,11.35,0.95,50.41,99.05,Secure
