Message_ID,Error_Correction_Applied,Transmission_Time (ms),Error_Rate (%),Throughput (Mbps),Data_Integrity (%),processed_Original_Message,processed_Transmitted_Message,processed_Corrected_Message,processed_Encryption_Type,processed_Encrypted_Message,processed_Decrypted_Message,processed_Authentication_Status,Target
3790,0,10.03,0.89,56.13,99.11,departing maintenance delay station,departing maintenance delay station,departing maintenance delay station,rsa,,departing maintenance delay station,success,Secure
3791,0,12.19,0.96,53.32,99.04,arriving train departing arriving,arriving train departing arriving,arriving train departing arriving,,,arriving train departing arriving,success,Secure
3792,0,11.91,1.36,53.21,98.64,station departing delay train,station departing delay train,station departing delay train,rsa,,station departing delay train,success,Secure
3793,0,11.56,1.13,57.56,98.87,train departing arriving station delay station,train departing arriving station delay station,train departing arriving station delay station,rsa,,train departing arriving station delay station,success,Secure
3794,0,8.42,1.5,50.31,98.5,train departing departing station,train departing departing station,train departing departing station,,,train departing departing station,success,Secure
3795,0,10.01,0.11,56.97,99.89,departing station train train,departing station train train,departing station train train,,,departing station train train,failure,Not Secure
3796,0,8.06,0.04,56.04,99.96,train arriving maintenance station train station,train arriving maintenance station train station,train arriving maintenance station train station,,,train arriving maintenance station train station,success,Secure
3797,0,14.89,1.47,50.53,98.53,arriving departing station departing,arriving departing station departing,arriving departing station departing,,,arriving departing station departing,success,Secure
3798,0,8.87,0.93,52.52,99.07,arriving station station,arriving station station,arriving station station,rsa,,arriving station station,failure,Not Secure
3799,1,6.89,1.55,50.62,98.45,departing train station train train delay,departing train station train train delay,departing train station train train delay,rsa,,departing train station train train delay,failure,Not Secure
3800,0,5.46,1.16,55.51,98.84,departing maintenance departing arriving delay arriving train,departing maintenance departing arriving delay arriving train,departing maintenance departing arriving delay arriving train,,,departing maintenance departing arriving delay arriving train,success,Secure
3801,0,6.0,1.08,59.59,98.92,delay maintenance delay departing train,delay maintenance delay departing train,delay maintenance delay departing train,blowfish,,delay maintenance delay departing train,success,Secure
3802,0,9.55,1.32,58.42,98.68,departing departing station departing delay,departing departing station departing delay,departing departing station departing delay,,,departing departing station departing delay,failure,Not Secure
3803,1,14.91,1.32,51.15,98.68,train station train station delay delay,train station train statson delay delay,train station train station delay delay,blowfish,,train station train station delay delay,failure,Not Secure
3804,0,5.32,0.97,50.46,99.03,arriving station station station,arriving station station station,arriving station station station,blowfish,,arriving station station station,failure,Not Secure
3805,0,11.02,0.96,59.87,99.04,departing arriving maintenance delay arriving,departing arriving maintenance delay arriving,departing arriving maintenance delay arriving,blowfish,,departing arriving maintenance delay arriving,failure,Not Secure
3806,1,5.08,0.04,52.59,99.96,maintenance arriving train departing arriving departing,mabntenance arriving train departing arriving departing,maintenance arriving train departing arriving departing,blowfish,,maintenance arriving train departing arriving departing,success,Secure
3807,0,13.38,1.9,57.18,98.1,arriving maintenance station arriving departing,arriving maintenance station arriving departing,arriving maintenance station arriving departing,blowfish,,arriving maintenance station arriving departing,failure,Not Secure
3808,1,14.92,0.71,50.18,99.29,train delay station station arriving arriving,train delay stationlstation arriving arriving,train delay station station arriving arriving,blowfish,,train delay station station arriving arriving,success,Secure
3809,1,6.8,0.91,59.16,99.09,train station train maintenance train train,traln station train maintenance train train,train station train maintenance train train,rsa,,train station train maintenance train train,success,Secure
3810,0,5.96,0.86,59.06,99.14,delay departing station departing train station,delay departing station departing train station,delay departing station departing train station,blowfish,gaaaaabnlgimw3rx06,delay departing station departing train station,success,Secure
3811,0,6.68,0.11,57.58,99.89,maintenance train maintenance departing train arriving station,maintenance train maintenance departing train arriving station,maintenance train maintenance departing train arriving station,blowfish,,maintenance train maintenance departing train arriving station,success,Secure
3812,1,9.54,0.01,53.76,99.99,departing maintenance train delay delay,departing maintenance train delay defays,departing maintenance train delay delay,rsa,,departing maintenance train delay delay,failure,Not Secure
3813,0,8.37,0.54,53.2,99.46,maintenance maintenance,maintenance maintenance,maintenance maintenance,,,maintenance maintenance,failure,Not Secure
3814,0,14.52,0.98,50.64,99.02,departing maintenance departing maintenance train,departing maintenance departing maintenance train,departing maintenance departing maintenance train,blowfish,,departing maintenance departing maintenance train,success,Secure
3815,0,10.31,0.3,57.15,99.7,maintenance station arriving arriving arriving station,maintenance station arriving arriving arriving station,maintenance station arriving arriving arriving station,rsa,,maintenance station arriving arriving arriving station,failure,Not Secure
3816,0,5.71,1.01,50.42,98.99,delay departing maintenance delay,delay departing maintenance delay,delay departing maintenance delay,blowfish,,delay departing maintenance delay,failure,Not Secure
3817,0,14.35,1.51,53.96,98.49,train train arriving,train train arriving,train train arriving,rsa,,train train arriving,success,Secure
3818,0,10.32,0.47,51.76,99.53,station arriving,station arriving,station arriving,,,station arriving,success,Secure
3819,0,13.05,1.36,55.31,98.64,maintenance arriving maintenance station station station station,maintenance arriving maintenance station station station station,maintenance arriving maintenance station station station station,rsa,,maintenance arriving maintenance station station station station,success,Secure
3820,1,10.96,0.05,58.27,99.95,delay maintenance train maintenance arriving,delay maintenance trainnmaintenance arriving,delay maintenance train maintenance arriving,blowfish,,delay maintenance train maintenance arriving,failure,Not Secure
3821,1,9.91,0.8,50.51,99.2,station maintenance maintenance delay,station maintenance mainjenance delay,station maintenance maintenance delay,blowfish,,station maintenance maintenance delay,failure,Not Secure
3822,0,12.89,1.56,56.16,98.44,train arriving delay,train arriving delay,train arriving delay,blowfish,,train arriving delay,success,Secure
3823,0,7.46,0.58,56.62,99.42,maintenance departing delay train arriving,maintenance departing delay train arriving,maintenance departing delay train arriving,blowfish,,maintenance departing delay train arriving,success,Secure
3824,0,7.33,0.12,58.34,99.88,delay arriving,delay arriving,delay arriving,,,delay arriving,failure,Not Secure
3825,1,7.96,0.18,57.54,99.82,station maintenance delay departing departing,station maintenance delay depadting departing,station maintenance delay departing departing,rsa,,station maintenance delay departing departing,failure,Not Secure
3826,0,14.13,1.87,57.37,98.13,arriving arriving departing departing,arriving arriving departing departing,arriving arriving departing departing,rsa,,arriving arriving departing departing,success,Secure
3827,0,13.58,0.93,51.24,99.07,arriving station departing departing departing station,arriving station departing departing departing station,arriving station departing departing departing station,,,arriving station departing departing departing station,failure,Not Secure
3828,0,9.12,1.09,51.13,98.91,departing maintenance train maintenance arriving train arriving,departing maintenance train maintenance arriving train arriving,departing maintenance train maintenance arriving train arriving,blowfish,,departing maintenance train maintenance arriving train arriving,success,Secure
3829,1,14.03,0.7,59.76,99.3,delay station delay station,delay station delay station,delay station delay station,,,delay station delay station,failure,Not Secure
3830,0,5.51,1.54,55.57,98.46,arriving departing departing departing,arriving departing departing departing,arriving departing departing departing,blowfish,,arriving departing departing departing,success,Secure
3831,0,10.21,0.4,59.25,99.6,departing station maintenance departing,departing station maintenance departing,departing station maintenance departing,,,departing station maintenance departing,failure,Not Secure
3832,0,8.25,0.47,55.63,99.53,delay train train arriving maintenance delay maintenance,delay train train arriving maintenance delay maintenance,delay train train arriving maintenance delay maintenance,,,delay train train arriving maintenance delay maintenance,success,Secure
3833,1,12.0,0.93,52.36,99.07,arriving maintenance maintenance departing train train,arriving maintenance mainrenance departing train train,arriving maintenance maintenance departing train train,rsa,,arriving maintenance maintenance departing train train,success,Secure
3834,0,8.21,1.72,59.0,98.28,arriving train arriving train departing,arriving train arriving train departing,arriving train arriving train departing,,,arriving train arriving train departing,success,Secure
3835,0,10.81,1.24,54.82,98.76,arriving arriving delay station maintenance,arriving arriving delay station maintenance,arriving arriving delay station maintenance,rsa,,arriving arriving delay station maintenance,failure,Not Secure
3836,0,14.82,0.69,56.01,99.31,delay delay departing station delay,delay delay departing station delay,delay delay departing station delay,,ph7g2ekvytwhqlj,delay delay departing station delay,success,Secure
3837,0,10.63,1.89,56.6,98.11,train departing delay station arriving maintenance,train departing delay station arriving maintenance,train departing delay station arriving maintenance,blowfish,,train departing delay station arriving maintenance,success,Secure
3838,0,12.95,0.6,53.91,99.4,station maintenance delay delay station,station maintenance delay delay station,station maintenance delay delay station,blowfish,,station maintenance delay delay station,failure,Not Secure
3839,0,9.53,0.23,53.3,99.77,delay maintenance train delay train,delay maintenance train delay train,delay maintenance train delay train,blowfish,,delay maintenance train delay train,success,Secure
3840,1,11.97,0.56,56.55,99.44,station delay train maintenance maintenance arriving,station delay train maintenance mainienance arriving,station delay train maintenance maintenance arriving,blowfish,,station delay train maintenance maintenance arriving,success,Secure
3841,0,10.07,0.65,51.08,99.35,departing maintenance station arriving delay,departing maintenance station arriving delay,departing maintenance station arriving delay,rsa,,departing maintenance station arriving delay,success,Secure
3842,0,9.45,1.03,54.62,98.97,station delay arriving delay maintenance train,station delay arriving delay maintenance train,station delay arriving delay maintenance train,rsa,,station delay arriving delay maintenance train,success,Secure
3843,0,10.94,1.6,55.35,98.4,arriving departing departing,arriving departing departing,arriving departing departing,blowfish,,arriving departing departing,success,Secure
3844,1,10.6,1.25,54.49,98.75,arriving delay departing maintenance,arriving delay deparling maintenance,arriving delay departing maintenance,blowfish,,arriving delay departing maintenance,failure,Not Secure
3845,1,5.12,0.8,54.45,99.2,maintenance delay delay departing,maintenance delay departing,maintenance delay delay departing,,,maintenance delay delay departing,success,Secure
3846,1,11.53,1.16,59.94,98.84,maintenance train delay departing,maintenance train delwys departing,maintenance train delay departing,rsa,,maintenance train delay departing,failure,Not Secure
3847,0,8.89,1.28,50.26,98.72,train train delay maintenance station,train train delay maintenance station,train train delay maintenance station,rsa,,train train delay maintenance station,success,Secure
3848,0,7.46,1.98,56.97,98.02,departing departing maintenance delay,departing departing maintenance delay,departing departing maintenance delay,,,departing departing maintenance delay,failure,Not Secure
3849,0,10.2,0.61,53.15,99.39,arriving maintenance delay maintenance arriving maintenance delay,arriving maintenance delay maintenance arriving maintenance delay,arriving maintenance delay maintenance arriving maintenance delay,rsa,,arriving maintenance delay maintenance arriving maintenance delay,failure,Not Secure
3850,0,10.12,1.76,56.35,98.24,departing train station delay delay,departing train station delay delay,departing train station delay delay,rsa,,departing train station delay delay,success,Secure
3851,0,9.05,1.54,58.01,98.46,departing train delay train,departing train delay train,departing train delay train,blowfish,,departing train delay train,failure,Not Secure
3852,0,10.56,1.35,59.93,98.65,departing station,departing station,departing station,,,departing station,failure,Not Secure
3853,0,8.75,1.41,55.76,98.59,maintenance maintenance departing delay station,maintenance maintenance departing delay station,maintenance maintenance departing delay station,,,maintenance maintenance departing delay station,failure,Not Secure
3854,0,8.38,0.41,51.26,99.59,delay maintenance departing delay train,delay maintenance departing delay train,delay maintenance departing delay train,rsa,,delay maintenance departing delay train,success,Secure
3855,1,14.53,1.16,53.85,98.84,station train train station delay station arriving,station train train station delay btation arriving,station train train station delay station arriving,rsa,,station train train station delay station arriving,success,Secure
3856,0,6.66,1.35,50.34,98.65,maintenance arriving train delay,maintenance arriving train delay,maintenance arriving train delay,rsa,,maintenance arriving train delay,failure,Not Secure
3857,0,8.25,0.69,57.09,99.31,arriving arriving delay maintenance delay arriving,arriving arriving delay maintenance delay arriving,arriving arriving delay maintenance delay arriving,,,arriving arriving delay maintenance delay arriving,failure,Not Secure
3858,0,13.02,0.29,50.75,99.71,train maintenance station train train,train maintenance station train train,train maintenance station train train,,,train maintenance station train train,failure,Not Secure
3859,1,5.63,0.52,50.73,99.48,departing delay maintenance station,departing delay maintenance stdtion,departing delay maintenance station,rsa,,departing delay maintenance station,failure,Not Secure
3860,0,10.98,0.44,54.3,99.56,arriving departing delay train maintenance train delay,arriving departing delay train maintenance train delay,arriving departing delay train maintenance train delay,rsa,,arriving departing delay train maintenance train delay,failure,Not Secure
3861,0,10.3,0.12,54.18,99.88,station maintenance station arriving,station maintenance station arriving,station maintenance station arriving,rsa,,station maintenance station arriving,success,Secure
3862,0,14.94,0.96,58.17,99.04,train arriving maintenance arriving,train arriving maintenance arriving,train arriving maintenance arriving,rsa,,train arriving maintenance arriving,success,Secure
3863,1,11.41,0.85,55.01,99.15,station train maintenance delay departing arriving,station train maintenance delay departing lrriving,station train maintenance delay departing arriving,blowfish,,station train maintenance delay departing arriving,success,Secure
3864,0,14.52,1.56,52.45,98.44,train arriving arriving train,train arriving arriving train,train arriving arriving train,blowfish,,train arriving arriving train,failure,Not Secure
3865,0,8.4,0.96,54.92,99.04,arriving station arriving train,arriving station arriving train,arriving station arriving train,rsa,,arriving station arriving train,failure,Not Secure
3866,0,14.98,1.0,58.46,99.0,departing station,departing station,departing station,rsa,,departing station,success,Secure
3867,0,14.27,1.9,55.4,98.1,arriving train departing delay train station maintenance,arriving train departing delay train station maintenance,arriving train departing delay train station maintenance,rsa,,arriving train departing delay train station maintenance,success,Secure
3868,1,13.94,1.92,59.16,98.08,departing train maintenance,departing train maistenance,departing train maintenance,,,departing train maintenance,failure,Not Secure
3869,0,5.61,1.13,57.86,98.87,train station delay maintenance arriving,train station delay maintenance arriving,train station delay maintenance arriving,blowfish,gaaaaabnlgimqwsciqimt,train station delay maintenance arriving,failure,Not Secure
3870,0,13.62,1.98,56.66,98.02,train delay maintenance maintenance delay,train delay maintenance maintenance delay,train delay maintenance maintenance delay,blowfish,,train delay maintenance maintenance delay,success,Secure
3871,1,9.33,1.56,57.78,98.44,train delay train departing,train delay train depahting,train delay train departing,rsa,,train delay train departing,failure,Not Secure
3872,1,5.97,0.35,55.43,99.65,arriving maintenance maintenance train delay,arriving maintenance mayntenance train delay,arriving maintenance maintenance train delay,,,arriving maintenance maintenance train delay,success,Secure
3873,0,5.58,0.57,52.82,99.43,delay train train,delay train train,delay train train,blowfish,,delay train train,success,Secure
3874,0,8.79,1.78,54.38,98.22,delay train departing station train,delay train departing station train,delay train departing station train,blowfish,,delay train departing station train,success,Secure
3875,1,7.62,0.45,55.54,99.55,delay delay delay station maintenance,delay dklays delay station maintenance,delay delay delay station maintenance,,,delay delay delay station maintenance,failure,Not Secure
3876,0,9.49,1.02,50.75,98.98,departing arriving station arriving train,departing arriving station arriving train,departing arriving station arriving train,blowfish,,departing arriving station arriving train,failure,Not Secure
3877,0,10.89,1.35,56.92,98.65,maintenance station departing arriving,maintenance station departing arriving,maintenance station departing arriving,blowfish,,maintenance station departing arriving,failure,Not Secure
3878,0,11.76,1.51,53.03,98.49,arriving maintenance departing station maintenance,arriving maintenance departing station maintenance,arriving maintenance departing station maintenance,blowfish,,arriving maintenance departing station maintenance,success,Secure
3879,0,14.27,1.85,59.61,98.15,departing arriving departing station arriving,departing arriving departing station arriving,departing arriving departing station arriving,blowfish,,departing arriving departing station arriving,failure,Not Secure
3880,0,5.48,1.28,51.82,98.72,arriving station station train departing train,arriving station station train departing train,arriving station station train departing train,,,arriving station station train departing train,failure,Not Secure
3881,0,14.11,0.45,55.37,99.55,departing maintenance arriving maintenance,departing maintenance arriving maintenance,departing maintenance arriving maintenance,,,departing maintenance arriving maintenance,success,Secure
3882,0,11.69,1.3,55.95,98.7,maintenance departing departing maintenance train train,maintenance departing departing maintenance train train,maintenance departing departing maintenance train train,rsa,,maintenance departing departing maintenance train train,success,Secure
3883,0,6.0,0.3,55.21,99.7,train station delay station station,train station delay station station,train station delay station station,rsa,,train station delay station station,success,Secure
3884,0,13.08,0.36,56.23,99.64,arriving delay arriving delay,arriving delay arriving delay,arriving delay arriving delay,blowfish,,arriving delay arriving delay,success,Secure
3885,0,10.65,0.96,54.46,99.04,station delay arriving arriving maintenance delay,station delay arriving arriving maintenance delay,station delay arriving arriving maintenance delay,rsa,,station delay arriving arriving maintenance delay,failure,Not Secure
3886,0,10.46,1.97,51.32,98.03,train train arriving delay maintenance train,train train arriving delay maintenance train,train train arriving delay maintenance train,blowfish,,train train arriving delay maintenance train,success,Secure
3887,0,14.18,0.75,56.88,99.25,departing train train arriving,departing train train arriving,departing train train arriving,rsa,,departing train train arriving,failure,Not Secure
3888,0,12.24,1.25,55.31,98.75,station maintenance train maintenance maintenance station,station maintenance train maintenance maintenance station,station maintenance train maintenance maintenance station,,,station maintenance train maintenance maintenance station,success,Secure
3889,0,13.78,1.1,55.99,98.9,maintenance station arriving delay,maintenance station arriving delay,maintenance station arriving delay,,,maintenance station arriving delay,success,Secure
3890,0,5.77,0.82,55.35,99.18,arriving delay maintenance departing,arriving delay maintenance departing,arriving delay maintenance departing,rsa,,arriving delay maintenance departing,success,Secure
3891,0,6.76,1.9,51.97,98.1,delay arriving arriving departing station,delay arriving arriving departing station,delay arriving arriving departing station,blowfish,,delay arriving arriving departing station,failure,Not Secure
3892,0,8.49,0.47,55.36,99.53,departing delay train delay departing delay,departing delay train delay departing delay,departing delay train delay departing delay,blowfish,,departing delay train delay departing delay,success,Secure
3893,1,5.39,0.63,59.15,99.37,station departing station delay,station departing station delags,station departing station delay,blowfish,,station departing station delay,success,Secure
3894,0,5.26,0.72,58.58,99.28,train arriving departing,train arriving departing,train arriving departing,blowfish,,train arriving departing,success,Secure
3895,0,6.58,0.43,53.89,99.57,departing maintenance delay departing,departing maintenance delay departing,departing maintenance delay departing,rsa,,departing maintenance delay departing,success,Secure
3896,0,5.64,0.73,52.87,99.27,delay maintenance,delay maintenance,delay maintenance,,,delay maintenance,success,Secure
3897,1,11.1,0.57,53.23,99.43,delay arriving,delayj arriving,delay arriving,blowfish,,delay arriving,success,Secure
3898,0,14.06,0.37,59.28,99.63,train station arriving station arriving departing delay,train station arriving station arriving departing delay,train station arriving station arriving departing delay,blowfish,,train station arriving station arriving departing delay,success,Secure
3899,0,12.08,0.37,50.82,99.63,arriving maintenance arriving departing,arriving maintenance arriving departing,arriving maintenance arriving departing,,,arriving maintenance arriving departing,success,Secure
3900,0,14.99,1.31,53.65,98.69,arriving train train arriving,arriving train train arriving,arriving train train arriving,rsa,,arriving train train arriving,failure,Not Secure
3901,0,10.29,0.07,52.32,99.93,arriving delay arriving station maintenance,arriving delay arriving station maintenance,arriving delay arriving station maintenance,rsa,,arriving delay arriving station maintenance,success,Secure
3902,1,10.93,1.47,53.9,98.53,departing delay delay maintenance departing,departing delay delay mdintenance departing,departing delay delay maintenance departing,rsa,,departing delay delay maintenance departing,success,Secure
3903,0,13.57,1.78,56.77,98.22,departing station arriving,departing station arriving,departing station arriving,rsa,,departing station arriving,failure,Not Secure
3904,0,5.85,0.98,57.37,99.02,delay delay delay departing station train delay,delay delay delay departing station train delay,delay delay delay departing station train delay,blowfish,,delay delay delay departing station train delay,failure,Not Secure
3905,0,10.88,1.13,57.54,98.87,departing arriving arriving arriving,departing arriving arriving arriving,departing arriving arriving arriving,rsa,,departing arriving arriving arriving,success,Secure
3906,0,5.37,0.38,58.88,99.62,delay arriving station delay departing arriving maintenance,delay arriving station delay departing arriving maintenance,delay arriving station delay departing arriving maintenance,,,delay arriving station delay departing arriving maintenance,success,Secure
3907,0,13.43,0.08,50.95,99.92,departing departing station departing maintenance departing,departing departing station departing maintenance departing,departing departing station departing maintenance departing,blowfish,,departing departing station departing maintenance departing,failure,Not Secure
3908,0,13.11,1.99,56.62,98.01,arriving delay delay delay,arriving delay delay delay,arriving delay delay delay,rsa,,arriving delay delay delay,success,Secure
3909,0,13.03,1.69,57.91,98.31,maintenance arriving maintenance maintenance station arriving,maintenance arriving maintenance maintenance station arriving,maintenance arriving maintenance maintenance station arriving,rsa,,maintenance arriving maintenance maintenance station arriving,success,Secure
3910,0,13.14,0.12,56.41,99.88,departing arriving train,departing arriving train,departing arriving train,rsa,,departing arriving train,success,Secure
3911,0,9.02,1.94,52.51,98.06,train departing maintenance delay delay,train departing maintenance delay delay,train departing maintenance delay delay,,,train departing maintenance delay delay,failure,Not Secure
3912,0,13.76,0.21,51.94,99.79,train departing departing station station,train departing departing station station,train departing departing station station,blowfish,,train departing departing station station,success,Secure
3913,0,6.86,1.27,55.66,98.73,delay station station,delay station station,delay station station,,,delay station station,failure,Not Secure
3914,1,12.22,0.61,58.75,99.39,station departing station,station departing statiov,station departing station,rsa,,station departing station,failure,Not Secure
3915,1,13.4,0.34,56.71,99.66,departing delay,departing delay,departing delay,,,departing delay,failure,Not Secure
3916,0,8.75,1.4,54.37,98.6,delay delay arriving departing delay delay arriving,delay delay arriving departing delay delay arriving,delay delay arriving departing delay delay arriving,blowfish,,delay delay arriving departing delay delay arriving,success,Secure
3917,0,6.24,1.49,56.31,98.51,arriving station maintenance station train,arriving station maintenance station train,arriving station maintenance station train,blowfish,,arriving station maintenance station train,failure,Not Secure
3918,0,14.82,1.36,57.88,98.64,arriving train train maintenance departing,arriving train train maintenance departing,arriving train train maintenance departing,,,arriving train train maintenance departing,success,Secure
3919,0,10.9,0.68,59.38,99.32,arriving departing arriving,arriving departing arriving,arriving departing arriving,,,arriving departing arriving,success,Secure
3920,0,10.42,1.45,56.66,98.55,maintenance maintenance departing maintenance,maintenance maintenance departing maintenance,maintenance maintenance departing maintenance,,,maintenance maintenance departing maintenance,success,Secure
3921,0,9.54,1.61,54.62,98.39,delay maintenance maintenance,delay maintenance maintenance,delay maintenance maintenance,rsa,,delay maintenance maintenance,failure,Not Secure
3922,0,8.13,1.18,57.3,98.82,departing station station,departing station station,departing station station,,,departing station station,success,Secure
3923,0,8.35,0.38,50.7,99.62,train station delay,train station delay,train station delay,blowfish,,train station delay,success,Secure
3924,1,12.3,1.46,58.11,98.54,arriving maintenance delay delay station,arriving maintenance delay delay,arriving maintenance delay delay station,rsa,,arriving maintenance delay delay station,failure,Not Secure
3925,0,7.25,0.77,55.85,99.23,station arriving delay station,station arriving delay station,station arriving delay station,blowfish,,station arriving delay station,failure,Not Secure
3926,0,11.03,0.54,57.93,99.46,departing station maintenance departing arriving train,departing station maintenance departing arriving train,departing station maintenance departing arriving train,,,departing station maintenance departing arriving train,failure,Not Secure
3927,0,11.23,0.33,54.97,99.67,train departing departing delay,train departing departing delay,train departing departing delay,rsa,,train departing departing delay,failure,Not Secure
3928,0,14.64,0.98,58.85,99.02,arriving arriving station station maintenance,arriving arriving station station maintenance,arriving arriving station station maintenance,blowfish,,arriving arriving station station maintenance,success,Secure
3929,0,11.51,0.31,51.18,99.69,departing arriving delay arriving delay,departing arriving delay arriving delay,departing arriving delay arriving delay,rsa,,departing arriving delay arriving delay,success,Secure
3930,0,13.49,0.05,59.48,99.95,arriving arriving maintenance,arriving arriving maintenance,arriving arriving maintenance,rsa,,arriving arriving maintenance,success,Secure
3931,1,5.77,1.82,56.2,98.18,maintenance delay train delay,maintenance delayt train delay,maintenance delay train delay,rsa,,maintenance delay train delay,success,Secure
3932,0,14.22,0.98,59.58,99.02,delay train arriving arriving station arriving station,delay train arriving arriving station arriving station,delay train arriving arriving station arriving station,blowfish,,delay train arriving arriving station arriving station,success,Secure
3933,1,12.48,1.5,58.49,98.5,train delay train delay departing maintenance,train delay train delay departinf maintenance,train delay train delay departing maintenance,rsa,,train delay train delay departing maintenance,success,Secure
3934,0,9.4,0.85,53.56,99.15,arriving maintenance train delay,arriving maintenance train delay,arriving maintenance train delay,,,arriving maintenance train delay,failure,Not Secure
3935,0,13.47,0.12,56.99,99.88,arriving station departing,arriving station departing,arriving station departing,,,arriving station departing,success,Secure
3936,0,8.15,1.23,58.05,98.77,station maintenance train departing,station maintenance train departing,station maintenance train departing,blowfish,,station maintenance train departing,failure,Not Secure
3937,0,9.88,1.52,52.24,98.48,train station station arriving maintenance,train station station arriving maintenance,train station station arriving maintenance,,gaaaaabnlgimeer6eka4zoy9xnzkimfet4lmddu4vk12ttgdewu9s4wdpa28vfuh0ronpgxwax539jzrbfcpygiicumcjn3osnkxubh5taoplhsjyz52p2mbxysqntcqrthqzieh2uwb,train station station arriving maintenance,success,Secure
3938,0,8.52,0.67,50.82,99.33,arriving maintenance arriving delay,arriving maintenance arriving delay,arriving maintenance arriving delay,,,arriving maintenance arriving delay,success,Secure
3939,1,13.02,0.32,57.26,99.68,train delay departing train delay maintenance,train delay departing traiv delay maintenance,train delay departing train delay maintenance,rsa,,train delay departing train delay maintenance,success,Secure
3940,0,8.92,1.89,50.02,98.11,arriving delay arriving train delay maintenance train,arriving delay arriving train delay maintenance train,arriving delay arriving train delay maintenance train,,,arriving delay arriving train delay maintenance train,failure,Not Secure
3941,0,5.32,0.17,57.62,99.83,station departing delay maintenance arriving station,station departing delay maintenance arriving station,station departing delay maintenance arriving station,,,station departing delay maintenance arriving station,failure,Not Secure
3942,1,13.44,0.56,58.62,99.44,station delay delay delay train,station delay delay delay,station delay delay delay train,blowfish,,station delay delay delay train,failure,Not Secure
3943,0,7.43,0.42,58.68,99.58,departing station maintenance departing maintenance station,departing station maintenance departing maintenance station,departing station maintenance departing maintenance station,rsa,,departing station maintenance departing maintenance station,failure,Not Secure
3944,1,13.39,1.75,55.22,98.25,delay train departing maintenance,delay train departing maintenancs,delay train departing maintenance,blowfish,,delay train departing maintenance,success,Secure
3945,1,5.93,0.81,51.98,99.19,departing maintenance maintenance train maintenance departing,departing maintenance maintenunce train maintenance departing,departing maintenance maintenance train maintenance departing,,,departing maintenance maintenance train maintenance departing,success,Secure
3946,0,10.21,0.89,51.13,99.11,maintenance delay delay departing train arriving,maintenance delay delay departing train arriving,maintenance delay delay departing train arriving,rsa,,maintenance delay delay departing train arriving,success,Secure
3947,0,7.85,1.4,58.62,98.6,delay station station departing,delay station station departing,delay station station departing,rsa,,delay station station departing,success,Secure
3948,0,5.72,1.09,57.24,98.91,departing train arriving station arriving arriving,departing train arriving station arriving arriving,departing train arriving station arriving arriving,blowfish,,departing train arriving station arriving arriving,success,Secure
3949,0,8.6,1.86,50.63,98.14,arriving station station maintenance station arriving delay,arriving station station maintenance station arriving delay,arriving station station maintenance station arriving delay,,,arriving station station maintenance station arriving delay,failure,Not Secure
3950,0,5.93,1.02,58.19,98.98,station delay maintenance train,station delay maintenance train,station delay maintenance train,rsa,,station delay maintenance train,failure,Not Secure
3951,0,10.47,1.75,55.81,98.25,station train delay station arriving,station train delay station arriving,station train delay station arriving,,,station train delay station arriving,failure,Not Secure
3952,0,14.75,1.64,53.69,98.36,train departing delay train delay maintenance,train departing delay train delay maintenance,train departing delay train delay maintenance,,,train departing delay train delay maintenance,failure,Not Secure
3953,0,7.51,1.59,55.98,98.41,train arriving delay delay maintenance delay,train arriving delay delay maintenance delay,train arriving delay delay maintenance delay,blowfish,,train arriving delay delay maintenance delay,failure,Not Secure
3954,0,13.19,1.19,52.88,98.81,station delay station,station delay station,station delay station,,,station delay station,failure,Not Secure
3955,0,14.05,0.4,54.41,99.6,departing departing maintenance arriving maintenance,departing departing maintenance arriving maintenance,departing departing maintenance arriving maintenance,rsa,,departing departing maintenance arriving maintenance,success,Secure
3956,0,11.01,1.18,58.66,98.82,delay departing arriving train station,delay departing arriving train station,delay departing arriving train station,rsa,,delay departing arriving train station,success,Secure
3957,0,13.52,1.05,56.18,98.95,arriving delay train arriving station,arriving delay train arriving station,arriving delay train arriving station,rsa,,arriving delay train arriving station,success,Secure
3958,0,14.52,0.24,59.59,99.76,station departing maintenance,station departing maintenance,station departing maintenance,blowfish,,station departing maintenance,success,Secure
3959,0,7.7,1.92,56.87,98.08,arriving station maintenance train arriving train,arriving station maintenance train arriving train,arriving station maintenance train arriving train,,,arriving station maintenance train arriving train,success,Secure
3960,0,9.11,1.91,55.17,98.09,arriving train departing maintenance delay delay,arriving train departing maintenance delay delay,arriving train departing maintenance delay delay,blowfish,,arriving train departing maintenance delay delay,success,Secure
3961,0,7.15,0.31,59.36,99.69,arriving station departing delay maintenance arriving,arriving station departing delay maintenance arriving,arriving station departing delay maintenance arriving,rsa,,arriving station departing delay maintenance arriving,success,Secure
3962,0,6.61,0.57,51.91,99.43,departing station maintenance arriving arriving,departing station maintenance arriving arriving,departing station maintenance arriving arriving,rsa,,departing station maintenance arriving arriving,failure,Not Secure
3963,0,14.13,0.48,52.86,99.52,delay departing departing departing,delay departing departing departing,delay departing departing departing,rsa,,delay departing departing departing,success,Secure
3964,0,5.69,1.05,59.76,98.95,train maintenance departing departing station,train maintenance departing departing station,train maintenance departing departing station,,,train maintenance departing departing station,success,Secure
